Horas_estudio,Horas_sueño,Aprobó_examen,Carrera,Edad
3.4,7.8,0,Datos,23
1.4,5.7,1,Sistemas,22
1.9,6.9,1,Sistemas,23
3.8,6.9,1,Sistemas,22
3,7.7,0,Electrónica,23
0.5,6.6,1,Mecatrónica,20
3.1,7.5,1,Mecatrónica,21
3.6,7.9,1,Electrónica,18
1.5,5,1,Datos,22
3.3,8,1,Datos,25
4.7,5.8,0,Datos,22
3,5.7,1,Electrónica,18
1.7,3.9,1,Sistemas,23
1.9,6,1,Datos,22
2.5,6.8,0,Mecatrónica,24
3,6.4,1,Electrónica,20
2.6,6.3,1,Datos,21
3.1,5.7,1,Electrónica,18
2.3,7.7,0,Sistemas,21
2.7,7.8,1,Datos,24
