run,gpu,tiempo_ms
1,A,11.741
2,A,15.031
3,A,19.126
4,A,22.37
5,A,32.614
6,A,20.152
7,A,20.089
8,A,15.487
9,A,15.718
10,A,11.819
11,A,16.814
12,A,13.894
13,A,11.921
14,A,20.516
15,A,12.175
16,A,11.058
17,A,13.682
18,A,13.942
19,A,18.983
20,A,23.542
21,A,18.106
22,A,17.326
23,A,21.014
24,A,14.292
25,A,15.053
26,A,16.115
27,A,11.51
28,A,25.323
29,A,25.61
30,A,14.369
31,A,13.658
32,A,21.894
33,A,16.172
34,A,11.533
35,A,22.183
36,A,21.595
37,A,26.197
38,A,24.447
39,A,15.896
40,A,15.287
41,A,10.363
42,A,14.366
43,A,10.231
44,A,11.522
45,A,14.119
46,A,23.178
47,A,23.501
48,A,23.825
49,A,33.164
50,A,20.924
1,B,15.189
2,B,13.014
3,B,17.165
4,B,8.449
5,B,11.267
6,B,15.835
7,B,8.424
8,B,13.065
9,B,10.488
10,B,23.484
11,B,7.976
12,B,9.282
13,B,18.308
14,B,7.692
15,B,11.208
16,B,13.411
17,B,14.954
18,B,15.248
19,B,23.522
20,B,9.973
21,B,6.861
22,B,16.791
23,B,16.716
24,B,12.234
25,B,9.884
26,B,17.471
27,B,7.393
28,B,11.574
29,B,24.258
30,B,4.904
31,B,13.432
32,B,11.457
33,B,12.214
34,B,14.621
35,B,13.653
36,B,16.348
37,B,9.321
38,B,10.788
39,B,16.15
40,B,24.836
41,B,13.567
42,B,13.047
43,B,11.233
44,B,18.268
45,B,12.524
46,B,15.18
47,B,14.789
48,B,14.452
49,B,15.863
50,B,9.525
