region,salario_anual_mxn
Norte,354763.89
Norte,383043.28
Norte,416473.79
Norte,926270.13
Norte,379114.56
Norte,599367.54
Norte,691556.81
Norte,293323.8
Norte,823170.62
Norte,385480.32
Norte,317459.77
Norte,500434.69
Norte,575590.19
Norte,569640.38
Norte,1174886.95
Norte,776570.46
Norte,345293.34
Norte,560562.18
Norte,321894.3
Norte,740993.0
Norte,460207.74
Norte,368165.49
Norte,956267.13
Norte,790389.92
Norte,403917.4
Norte,159177.16
Norte,587836.85
Norte,233637.05
Norte,302603.04
Norte,340868.56
Sur,474241.51
Sur,381795.41
Sur,801519.84
Sur,503557.36
Sur,381943.44
Sur,535333.43
Sur,511136.85
Sur,911139.89
Sur,756342.57
Sur,461037.9
Sur,838372.71
Sur,382973.53
Sur,631267.68
Sur,511142.46
Sur,514238.91
Sur,1131881.52
Sur,529290.93
Sur,1169363.14
Sur,517767.44
Sur,419508.82
Sur,560026.06
Sur,1592766.07
Sur,209454.58
Sur,512757.25
Sur,464904.41
Sur,458978.85
Sur,481838.56
Sur,404580.31
Sur,923550.78
Sur,568578.97
Sur,159460.81
Sur,621678.3
