fold,algoritmo,f1_score
1,A,0.725
2,A,0.7484
3,A,0.8117
4,A,0.4926
5,A,0.7114
6,A,0.5034
7,A,0.4719
8,A,0.5872
9,A,0.8655
10,A,0.6548
11,A,0.5573
12,A,0.7131
13,A,0.5386
14,A,0.2931
15,A,0.8315
16,A,0.445
17,A,0.8041
18,A,0.6681
19,A,0.7027
20,A,0.7729
21,A,0.6077
22,A,0.4368
23,A,0.5873
24,A,0.7066
25,A,0.4711
1,B,0.6618
2,B,0.5221
3,B,0.6814
4,B,0.6595
5,B,0.5194
6,B,0.6327
7,B,0.741
8,B,0.9276
9,B,0.4704
10,B,0.5409
11,B,0.6815
12,B,0.763
13,B,0.6438
14,B,0.5229
15,B,0.4558
16,B,0.3866
17,B,0.7576
18,B,0.8426
19,B,0.398
20,B,0.5338
21,B,0.6395
22,B,0.6942
23,B,0.5718
24,B,0.8789
25,B,0.3201
