DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
DIC,1,22,0.0232,0.0015,3.380,NA,54,16.9,2.7,235,50
DIC,1,23,0.0239,0.0012,3.332,NA,55,15.7,2.8,245,55
DIC,2,0,0.0260,0.0011,3.270,NA,46,14.8,1.8,252,57
DIC,2,1,0.0235,0.0020,3.271,NA,39,13.7,1.5,200,61
DIC,2,2,0.0218,0.0032,3.278,NA,33,13.3,1.6,186,64
DIC,2,3,0.0178,0.0035,3.270,NA,38,12.7,1.3,213,66
DIC,2,4,0.0177,0.0037,3.230,NA,36,12.1,1.9,264,69
DIC,2,5,0.0186,0.0032,3.220,NA,35,11.6,1.9,258,73
DIC,2,6,0.0097,0.0036,3.342,NA,34,10.9,1.6,287,74
DIC,2,7,0.0010,0.0043,3.567,NA,46,10.3,1.7,249,77
DIC,2,8,0.0012,0.0050,3.981,NA,68,11.0,1.6,225,80
DIC,2,9,0.0046,0.0064,3.736,NA,97,14.2,1.8,95,69
DIC,2,10,0.0196,0.0076,3.490,NA,73,18.6,1.5,243,57
DIC,2,11,0.0294,0.0059,3.429,NA,46,20.8,1.8,241,50
DIC,2,12,0.0399,0.0052,3.228,NA,37,22.3,2.4,243,42
DIC,2,13,0.0465,0.0042,3.209,NA,27,23.2,3.6,261,31
DIC,2,14,0.0525,0.0036,3.213,NA,28,23.3,3.9,272,28
DIC,2,15,0.0487,0.0031,3.172,NA,31,24.4,4.5,266,21
DIC,2,16,0.0486,0.0021,3.194,NA,37,24.2,4.5,267,20
DIC,2,17,0.0503,0.0023,3.263,NA,38,23.6,3.9,272,22
DIC,2,18,0.0440,0.0022,3.399,NA,48,22.2,3.2,273,22
DIC,2,19,0.0210,0.0026,3.863,NA,55,19.6,2.4,265,25
DIC,2,20,0.0205,0.0030,3.501,NA,88,18.3,2.5,175,33
DIC,2,21,0.0158,0.0035,3.491,NA,75,17.2,2.4,174,50
DIC,2,22,0.0091,0.0034,3.608,NA,77,15.7,1.4,144,55
DIC,2,23,0.0121,0.0049,3.595,NA,83,14.7,1.5,173,53
DIC,3,0,0.0043,0.0046,3.612,NA,73,13.7,1.4,240,54
DIC,3,1,0.0009,0.0040,3.838,NA,65,13.4,1.3,262,55
DIC,3,2,0.0007,0.0056,3.548,NA,67,13.1,1.1,153,60
DIC,3,3,0.0002,0.0064,3.588,NA,61,12.2,1.0,260,58
DIC,3,4,0.0001,0.0056,3.529,NA,58,11.2,1.1,143,64
DIC,3,5,0.0001,0.0056,3.416,NA,58,10.1,1.3,117,71
DIC,3,6,0.0002,0.0062,3.533,NA,55,9.2,1.6,118,75
DIC,3,7,0.0003,0.0065,3.517,NA,64,8.4,1.7,125,80
DIC,3,8,0.0004,0.0058,3.528,NA,65,9.3,1.6,120,78
DIC,3,9,0.0022,0.0101,3.602,NA,69,14.1,1.6,109,65
DIC,3,10,0.0122,0.0089,3.405,NA,76,16.8,3.4,84,56
DIC,3,11,0.0199,0.0084,3.373,NA,54,19.0,3.1,102,48
DIC,3,12,0.0316,0.0083,3.244,NA,51,21.9,2.3,138,41
DIC,3,13,0.0405,0.0050,3.195,NA,33,23.7,2.5,198,34
DIC,3,14,0.0406,0.0040,3.163,NA,25,24.7,2.7,224,29
DIC,3,15,0.0342,0.0031,3.183,NA,35,24.2,4.0,248,28
DIC,3,16,0.0348,0.0025,3.250,NA,42,24.8,4.8,263,27
DIC,3,17,0.0351,0.0026,3.274,NA,38,24.0,4.7,266,28
DIC,3,18,0.0276,0.0023,3.353,NA,40,22.5,3.8,258,30
DIC,3,19,0.0195,0.0024,3.432,NA,56,21.1,2.9,232,33
DIC,3,20,0.0172,0.0033,3.451,NA,58,19.4,3.0,218,42
DIC,3,21,0.0181,0.0035,3.364,NA,55,17.9,2.9,228,46
DIC,3,22,0.0133,0.0038,3.513,NA,42,16.3,1.7,163,49
DIC,3,23,0.0021,0.0103,3.694,NA,71,14.6,1.1,172,53
DIC,4,0,0.0012,0.0108,3.732,NA,102,13.9,1.2,158,55
DIC,4,1,0.0007,0.0137,3.697,NA,81,13.0,1.3,228,56
DIC,4,2,0.0006,0.0088,3.484,NA,82,12.3,1.2,142,63
DIC,4,3,0.0004,0.0080,3.479,NA,65,11.8,1.3,188,63
DIC,4,4,0.0003,0.0084,3.517,NA,65,11.3,1.4,276,62
DIC,4,5,0.0004,0.0083,3.471,NA,64,11.9,1.5,118,66
DIC,4,6,0.0002,0.0076,3.461,NA,66,10.9,1.8,122,68
DIC,4,7,0.0001,0.0066,3.406,NA,70,10.8,1.6,145,70
DIC,4,8,0.0003,0.0066,3.543,NA,82,11.1,1.8,134,70
DIC,4,9,0.0006,0.0247,3.631,NA,97,12.5,2.1,118,70
DIC,4,10,0.0023,0.0380,3.636,NA,135,15.4,2.3,121,62
DIC,4,11,0.0124,0.0196,3.368,NA,92,19.7,2.2,120,48
DIC,4,12,0.0265,0.0067,3.232,NA,41,23.0,2.4,196,37
DIC,4,13,0.0305,0.0043,3.196,NA,25,23.3,3.1,229,36
DIC,4,14,0.0273,0.0033,3.263,NA,26,21.8,4.5,248,39
DIC,4,15,0.0262,0.0031,3.332,NA,37,21.4,3.7,252,43
DIC,4,16,0.0236,0.0029,3.389,NA,43,20.9,3.0,236,45
DIC,4,17,0.0259,0.0029,3.403,NA,45,20.9,3.7,250,45
DIC,4,18,0.0218,0.0026,3.486,NA,43,20.2,3.6,269,48
DIC,4,19,0.0136,0.0026,3.646,NA,55,18.8,3.0,255,52
DIC,4,20,0.0050,0.0030,4.005,NA,59,17.3,2.3,251,56
DIC,4,21,0.0042,0.0034,3.794,NA,58,16.9,1.7,230,57
DIC,4,22,0.0020,0.0036,3.867,NA,62,16.3,1.5,196,58
DIC,4,23,0.0014,0.0033,3.712,NA,47,16.2,1.6,257,57
DIC,5,0,0.0028,0.0033,3.569,NA,55,15.6,1.2,174,57
DIC,5,1,0.0013,0.0039,3.451,NA,49,14.8,1.6,181,59
DIC,5,2,0.0025,0.0042,3.349,NA,36,14.5,1.5,207,59
DIC,5,3,0.0017,0.0040,3.304,NA,36,14.2,1.3,213,60
DIC,5,4,0.0056,0.0037,3.262,NA,21,13.9,1.2,209,61
DIC,5,5,0.0008,0.0041,3.266,NA,27,13.0,1.2,137,64
DIC,5,6,0.0017,0.0043,3.291,NA,32,13.0,1.5,215,64
DIC,5,7,0.0006,0.0054,3.590,NA,41,11.9,1.5,119,69
DIC,5,8,0.0002,0.0069,3.848,NA,76,12.3,1.9,131,70
DIC,5,9,0.0026,0.0139,3.462,NA,75,17.1,1.8,119,59
DIC,5,10,0.0121,0.0124,3.340,NA,68,20.6,1.7,204,52
DIC,5,11,0.0222,0.0059,3.202,NA,26,21.6,2.4,261,48
DIC,5,12,0.0260,0.0039,3.255,NA,17,23.3,3.0,261,39
DIC,5,13,0.0274,0.0035,3.221,NA,23,23.5,3.2,269,35
DIC,5,14,0.0288,0.0031,3.225,NA,34,24.3,4.2,241,31
DIC,5,15,0.0295,0.0025,3.264,NA,29,24.7,3.9,260,30
DIC,5,16,0.0293,0.0022,3.343,NA,31,23.3,4.2,267,32
DIC,5,17,0.0289,0.0018,3.358,NA,37,22.5,3.4,246,33
DIC,5,18,0.0251,0.0021,3.405,NA,65,22.2,2.5,221,33
DIC,5,19,0.0228,0.0023,3.417,NA,58,21.2,2.8,182,36
DIC,5,20,0.0160,0.0027,3.446,NA,68,19.5,3.2,181,46
DIC,5,21,0.0148,0.0028,3.498,NA,74,16.6,2.4,180,60
DIC,5,22,0.0059,0.0036,3.785,NA,76,16.0,1.3,220,61
DIC,5,23,0.0031,0.0038,3.856,NA,60,15.6,1.5,248,59
DIC,6,0,0.0075,0.0032,3.439,NA,42,14.7,1.7,242,60
DIC,6,1,0.0120,0.0034,3.324,NA,36,14.4,1.5,276,62
DIC,6,2,0.0085,0.0035,3.448,NA,30,13.8,1.8,255,64
DIC,6,3,0.0043,0.0040,3.414,NA,37,13.4,2.3,268,66
DIC,6,4,0.0043,0.0039,3.369,NA,39,12.5,1.9,250,67
DIC,6,5,0.0036,0.0041,3.389,NA,48,11.6,1.8,256,69
DIC,6,6,0.0031,0.0039,3.395,NA,48,11.3,1.5,200,70
DIC,6,7,0.0008,0.0048,3.494,NA,48,10.3,2.0,121,73
DIC,6,8,0.0006,0.0056,3.737,NA,52,9.9,1.7,89,76
DIC,6,9,0.0019,0.0097,3.690,NA,78,11.6,1.9,105,74
DIC,6,10,0.0043,0.0226,3.525,NA,83,12.9,2.3,132,70
DIC,6,11,0.0104,0.0123,3.520,NA,62,15.0,2.2,123,64
DIC,6,12,0.0166,0.0119,3.371,NA,71,17.8,1.9,144,58
DIC,6,13,0.0266,0.0073,3.340,NA,33,21.1,1.8,248,48
DIC,6,14,0.0306,0.0053,3.289,NA,22,22.6,2.2,198,42
DIC,6,15,0.0277,0.0043,3.289,NA,25,23.7,3.1,227,35
DIC,6,16,0.0294,0.0038,3.389,NA,24,22.9,3.4,276,36
DIC,6,17,0.0273,0.0032,3.456,NA,35,21.5,4.3,290,40
DIC,6,18,0.0204,0.0035,3.504,NA,77,18.7,6.3,307,51
DIC,6,19,0.0144,0.0032,3.668,NA,51,17.9,4.1,298,51
DIC,6,20,0.0071,0.0031,3.757,NA,41,17.6,3.3,297,51
DIC,6,21,0.0084,0.0032,3.602,NA,38,17.2,3.2,306,51
DIC,6,22,0.0072,0.0034,3.638,NA,39,17.0,2.4,309,51
DIC,6,23,0.0090,0.0037,3.418,NA,32,16.2,1.9,165,55
DIC,7,0,0.0109,0.0034,3.284,NA,34,15.4,1.8,143,61
DIC,7,1,0.0095,0.0051,3.256,NA,24,14.9,2.1,96,65
DIC,7,2,0.0090,0.0063,3.264,NA,33,14.3,2.5,85,65
DIC,7,3,0.0117,0.0037,3.210,NA,31,13.7,2.6,93,61
DIC,7,4,0.0132,0.0030,3.191,NA,28,13.2,2.6,93,61
DIC,7,5,0.0152,0.0024,3.197,NA,23,13.0,2.7,91,63
DIC,7,6,0.0159,0.0027,3.194,NA,23,13.0,3.4,78,63
DIC,7,7,0.0159,0.0021,3.254,NA,33,12.5,3.8,91,59
DIC,7,8,0.0128,0.0023,3.321,NA,34,12.2,3.8,87,58
DIC,7,9,0.0142,0.0021,3.340,NA,36,12.9,3.6,87,54
DIC,7,10,0.0177,0.0024,3.280,NA,40,13.9,4.4,79,53
DIC,7,11,0.0201,0.0024,3.279,NA,32,14.0,4.5,77,53
DIC,7,12,0.0202,0.0041,3.313,NA,37,14.6,4.2,62,52
DIC,7,13,0.0237,0.0065,3.288,NA,32,16.3,3.9,79,49
DIC,7,14,0.0280,0.0053,3.279,NA,32,18.2,4.0,77,45
DIC,7,15,0.0306,0.0042,3.266,NA,31,19.9,3.7,99,41
DIC,7,16,0.0307,0.0038,3.291,NA,27,20.7,3.4,89,38
DIC,7,17,0.0265,0.0062,3.632,NA,27,20.0,2.3,164,39
DIC,7,18,0.0212,0.0127,3.509,NA,31,18.2,3.2,54,43
DIC,7,19,0.0194,0.0040,3.513,NA,32,17.0,3.6,57,46
DIC,7,20,0.0232,0.0046,3.353,NA,34,16.2,4.1,46,48
DIC,7,21,0.0226,0.0145,3.355,NA,24,15.7,3.4,49,49
DIC,7,22,0.0123,0.0062,3.420,NA,67,15.2,2.2,87,50
DIC,7,23,0.0210,0.0354,3.267,NA,59,14.6,3.5,59,50
DIC,8,0,0.0152,0.0051,3.277,NA,46,13.7,2.6,89,52
DIC,8,1,0.0171,0.0040,3.213,NA,42,13.3,3.1,100,54
DIC,8,2,0.0205,0.0025,3.154,NA,19,12.8,3.4,104,55
DIC,8,3,0.0203,0.0023,3.148,NA,16,12.3,3.5,101,55
DIC,8,4,0.0170,0.0021,3.138,NA,18,11.3,3.3,102,57
DIC,8,5,0.0139,0.0037,3.144,NA,25,10.6,2.9,98,59
DIC,8,6,0.0067,0.0134,3.242,NA,33,10.3,2.3,112,63
DIC,8,7,0.0035,0.0098,3.297,NA,42,10.2,4.0,115,66
DIC,8,8,0.0036,0.0064,3.460,NA,56,10.4,4.1,110,65
DIC,8,9,0.0076,0.0055,3.441,NA,58,11.3,4.3,102,61
DIC,8,10,0.0169,0.0028,3.221,NA,48,14.9,3.7,106,49
DIC,8,11,0.0234,0.0026,3.241,NA,40,17.0,4.4,94,43
DIC,8,12,0.0264,0.0024,3.212,NA,38,19.3,4.4,96,38
DIC,8,13,0.0303,0.0021,3.243,NA,60,20.6,3.5,101,36
DIC,8,14,0.0378,0.0022,3.189,NA,37,22.7,3.0,109,31
DIC,8,15,0.0386,0.0057,3.247,NA,NA,22.2,2.8,121,33
DIC,8,16,0.0352,0.0031,3.241,NA,30,22.2,2.2,120,33
DIC,8,17,0.0309,0.0045,3.306,NA,39,22.8,1.7,119,32
DIC,8,18,0.0292,0.0024,3.409,NA,33,21.3,1.9,109,32
DIC,8,19,0.0183,0.0023,3.610,NA,85,20.1,3.0,51,34
DIC,8,20,0.0235,0.0126,3.365,NA,68,19.2,5.4,50,34
DIC,8,21,0.0173,0.0026,3.332,NA,37,17.9,4.0,80,36
DIC,8,22,0.0195,0.0017,3.263,NA,36,16.9,4.8,94,38
DIC,8,23,0.0187,0.0017,3.226,NA,21,16.0,4.2,88,40
DIC,9,0,0.0190,0.0016,3.188,NA,16,15.2,4.0,95,42
DIC,9,1,0.0221,0.0184,3.154,NA,17,15.1,4.0,64,41
DIC,9,2,0.0244,0.0075,3.137,NA,17,14.9,4.0,68,39
DIC,9,3,0.0245,0.0130,3.125,NA,17,14.3,3.7,71,40
DIC,9,4,0.0225,0.0133,3.124,NA,19,13.6,2.8,98,41
DIC,9,5,0.0233,0.0043,3.096,NA,18,12.5,3.5,100,40
DIC,9,6,0.0236,0.0033,3.113,NA,15,11.3,3.6,96,39
DIC,9,7,0.0170,0.0066,3.170,NA,22,10.5,2.8,111,41
DIC,9,8,0.0097,0.0041,3.318,NA,43,10.1,1.9,134,40
DIC,9,9,0.0117,0.0077,3.380,NA,57,14.6,1.5,171,34
DIC,9,10,0.0143,0.0269,3.503,NA,78,18.7,1.8,171,28
DIC,9,11,0.0312,0.0046,3.169,NA,54,18.8,4.2,94,23
DIC,9,12,0.0354,0.0037,3.146,NA,30,20.2,4.1,90,22
DIC,9,13,0.0382,0.0068,3.162,NA,28,22.4,3.2,97,22
DIC,9,14,0.0381,0.0036,3.159,NA,32,23.8,3.1,108,23
DIC,9,15,0.0391,0.0068,3.204,NA,24,24.8,2.6,127,24
DIC,9,16,0.0423,0.0131,3.210,NA,30,25.6,2.3,149,23
DIC,9,17,0.0437,0.0496,3.396,NA,37,25.5,1.8,201,24
DIC,9,18,0.0415,0.0476,3.454,NA,45,23.9,1.4,128,25
DIC,9,19,0.0215,0.0306,4.551,NA,62,20.2,1.3,203,26
DIC,9,20,0.0012,0.0224,7.121,NA,175,18.6,1.3,209,29
DIC,9,21,0.0073,0.0139,4.917,NA,170,18.7,2.9,145,33
DIC,9,22,0.0170,0.0090,3.359,NA,56,17.9,3.4,81,31
DIC,9,23,0.0121,0.0082,3.306,NA,31,16.2,3.1,88,34
DIC,10,0,0.0129,0.0049,3.285,NA,39,14.7,2.9,88,37
DIC,10,1,0.0146,0.0040,3.189,NA,24,13.9,3.0,99,39
DIC,10,2,0.0145,0.0021,3.169,NA,20,13.6,2.5,116,38
DIC,10,3,0.0127,0.0033,3.151,NA,22,13.6,2.1,123,37
DIC,10,4,0.0092,0.0138,3.185,NA,27,12.3,2.0,122,40
DIC,10,5,0.0041,0.0147,3.354,NA,44,12.0,1.7,101,41
DIC,10,6,0.0007,0.0044,3.313,NA,42,11.4,2.1,95,41
DIC,10,7,0.0009,0.0056,3.642,NA,40,10.6,1.5,112,44
DIC,10,8,0.0002,0.0074,3.573,NA,83,10.2,1.5,132,47
DIC,10,9,0.0017,0.0070,3.670,NA,67,13.7,2.2,112,39
DIC,10,10,0.0096,0.0345,3.550,NA,86,16.7,2.1,136,33
DIC,10,11,0.0240,0.0359,3.465,NA,147,21.0,1.5,187,27
DIC,10,12,0.0386,0.0257,3.579,NA,89,23.4,2.1,274,28
DIC,10,13,0.0356,0.0078,3.384,NA,36,24.3,2.7,259,32
DIC,10,14,0.0478,0.0052,3.415,NA,35,24.9,2.7,258,31
DIC,10,15,0.0494,0.0047,3.358,NA,40,25.1,2.5,235,31
DIC,10,16,0.0475,0.0042,3.383,NA,41,24.5,2.6,263,31
DIC,10,17,0.0421,0.0034,3.577,NA,44,23.8,2.5,286,33
DIC,10,18,0.0329,0.0031,3.744,NA,50,22.2,2.0,276,37
DIC,10,19,0.0179,0.0040,4.161,NA,63,21.2,2.1,274,40
DIC,10,20,0.0051,0.0051,4.132,NA,113,20.1,2.3,249,43
DIC,10,21,0.0112,0.0039,3.605,NA,86,19.3,2.6,256,47
DIC,10,22,0.0163,0.0034,3.424,NA,50,18.9,2.7,238,48
DIC,10,23,0.0183,0.0031,3.397,NA,39,17.9,3.1,237,54
DIC,11,0,0.0165,0.0031,3.391,NA,36,16.9,2.5,240,58
DIC,11,1,0.0158,0.0034,3.343,NA,34,15.6,1.9,232,61
DIC,11,2,0.0169,0.0031,3.311,NA,27,14.7,1.8,246,64
DIC,11,3,0.0143,0.0032,3.293,NA,25,13.8,2.2,281,68
DIC,11,4,0.0087,0.0030,3.335,NA,30,12.8,1.3,221,69
DIC,11,5,0.0034,0.0034,3.410,NA,40,12.4,1.3,218,71
DIC,11,6,0.0011,0.0037,3.471,NA,47,11.7,1.5,292,71
DIC,11,7,0.0009,0.0043,3.693,NA,46,11.1,1.6,271,74
DIC,11,8,0.0008,0.0060,4.284,NA,70,11.8,1.1,213,74
DIC,11,9,0.0011,0.0073,4.453,NA,104,16.3,1.4,112,62
DIC,11,10,0.0085,0.0135,3.956,NA,108,19.9,1.5,205,55
DIC,11,11,0.0219,0.0424,3.565,NA,68,21.8,2.0,214,48
DIC,11,12,0.0317,0.0090,3.426,NA,43,23.1,2.5,274,42
DIC,11,13,0.0391,0.0049,3.299,NA,29,24.2,2.6,248,36
DIC,11,14,0.0396,0.0036,3.316,NA,27,24.8,2.9,254,31
DIC,11,15,0.0395,0.0029,3.343,NA,26,25.4,3.6,270,28
DIC,11,16,0.0386,0.0024,3.361,NA,28,25.6,3.7,282,28
DIC,11,17,0.0389,0.0023,3.318,NA,29,25.2,3.5,257,28
DIC,11,18,0.0368,0.0022,3.398,NA,40,23.8,2.9,251,30
DIC,11,19,0.0247,0.0022,3.697,NA,46,21.1,2.4,266,35
DIC,11,20,0.0102,0.0035,4.202,NA,66,19.6,2.2,248,37
DIC,11,21,0.0056,0.0062,4.081,NA,115,18.1,2.0,213,40
DIC,11,22,0.0090,0.0047,4.017,NA,166,17.4,2.0,252,42
DIC,11,23,0.0118,0.0039,3.712,NA,88,16.8,2.0,258,43
DIC,12,0,0.0037,0.0039,3.781,NA,99,15.3,1.9,248,47
DIC,12,1,0.0026,0.0041,3.906,NA,99,14.2,1.3,211,50
DIC,12,2,0.0003,0.0044,4.062,NA,109,13.5,1.5,239,52
DIC,12,3,0.0003,0.0058,3.834,NA,103,12.3,1.5,188,57
DIC,12,4,0.0011,0.0059,3.747,NA,93,11.6,1.8,139,61
DIC,12,5,0.0019,0.0065,3.543,NA,73,10.7,1.5,102,63
DIC,12,6,0.0016,0.0064,3.677,NA,60,10.1,1.2,103,64
DIC,12,7,0.0006,0.0101,3.637,NA,68,9.7,1.6,133,67
DIC,12,8,0.0002,0.0159,3.760,NA,88,10.0,1.5,112,69
DIC,12,9,0.0018,0.0127,4.020,NA,135,14.3,1.6,111,59
DIC,12,10,0.0076,0.0090,3.755,NA,101,18.5,1.7,104,49
DIC,12,11,0.0240,0.0137,3.452,NA,61,21.1,1.9,170,44
DIC,12,12,0.0366,0.0102,3.461,NA,47,23.8,2.0,238,36
DIC,12,13,0.0467,0.0061,3.369,NA,34,25.3,2.0,217,32
DIC,12,14,0.0506,0.0053,3.327,NA,34,26.1,2.3,191,30
DIC,12,15,0.0442,0.0034,3.277,NA,32,26.2,2.4,183,29
DIC,12,16,0.0457,0.0032,3.406,NA,28,26.4,2.6,178,29
DIC,12,17,0.0433,0.0032,3.437,NA,32,25.3,2.6,247,29
DIC,12,18,0.0367,0.0032,3.530,NA,66,23.1,2.3,263,33
DIC,12,19,0.0265,0.0028,3.525,NA,68,21.7,3.6,187,39
DIC,12,20,0.0216,0.0033,3.418,NA,62,19.7,2.7,183,47
DIC,12,21,0.0152,0.0049,3.665,NA,86,19.4,2.3,201,47
DIC,12,22,0.0188,0.0051,3.669,NA,105,19.1,1.9,217,47
DIC,12,23,0.0150,0.0041,3.713,NA,69,17.1,1.8,202,51
DIC,13,0,0.0073,0.0044,3.861,NA,68,15.9,1.4,180,54
DIC,13,1,0.0021,0.0037,3.919,NA,55,14.9,1.4,207,58
DIC,13,2,0.0003,0.0043,3.911,NA,79,13.9,1.5,122,62
DIC,13,3,0.0006,0.0060,3.666,NA,61,13.4,1.8,230,63
DIC,13,4,0.0019,0.0060,3.485,NA,39,12.2,1.3,189,63
DIC,13,5,0.0006,0.0049,3.622,NA,45,11.5,1.4,228,64
DIC,13,6,0.0002,0.0049,3.583,NA,49,11.1,1.6,250,67
DIC,13,7,0.0004,0.0048,3.672,NA,51,10.5,1.7,257,70
DIC,13,8,0.0016,0.0047,3.769,NA,53,11.4,1.6,227,71
DIC,13,9,0.0029,0.0055,4.045,NA,73,16.2,1.4,179,59
DIC,13,10,0.0158,0.0051,3.577,NA,77,19.5,2.0,277,54
DIC,13,11,0.0269,0.0047,3.409,NA,31,21.1,2.4,272,49
DIC,13,12,0.0335,0.0040,3.380,NA,26,23.0,2.4,256,40
DIC,13,13,0.0331,0.0035,3.280,NA,21,24.5,2.7,251,34
DIC,13,14,0.0329,0.0031,3.297,NA,21,25.4,3.2,266,30
DIC,13,15,0.0331,0.0028,3.277,NA,21,25.9,3.1,228,28
DIC,13,16,0.0301,0.0023,3.312,NA,26,25.9,4.4,266,25
DIC,13,17,0.0287,0.0018,3.380,NA,26,24.2,3.4,269,28
DIC,13,18,0.0282,0.0017,3.381,NA,24,24.1,3.1,268,28
DIC,13,19,0.0188,0.0020,3.600,NA,39,21.4,2.6,266,32
DIC,13,20,0.0084,0.0024,4.096,NA,49,19.8,2.2,261,34
DIC,13,21,0.0009,0.0042,4.670,NA,98,18.3,1.5,137,36
DIC,13,22,0.0021,0.0056,4.294,NA,177,16.8,1.7,172,40
DIC,13,23,0.0007,0.0067,5.025,NA,156,16.4,1.5,292,43
DIC,14,0,0.0004,0.0060,4.100,NA,112,15.0,1.5,131,50
DIC,14,1,0.0001,0.0074,3.757,NA,108,14.0,1.6,140,52
DIC,14,2,0.0004,0.0071,3.606,NA,95,13.1,1.7,112,54
DIC,14,3,0.0003,0.0042,3.463,NA,61,11.8,2.3,123,59
DIC,14,4,0.0038,0.0028,3.378,NA,44,12.1,2.6,108,60
DIC,14,5,0.0192,0.0016,3.277,NA,32,13.2,3.8,98,61
DIC,14,6,0.0287,0.0011,3.295,NA,33,13.5,4.0,101,68
DIC,14,7,0.0227,0.0009,3.386,NA,35,12.7,2.8,90,71
DIC,14,8,0.0180,0.0008,3.523,NA,41,12.8,3.0,96,73
DIC,14,9,0.0193,0.0008,3.486,NA,58,15.6,3.4,94,65
DIC,14,10,0.0296,0.0009,3.371,NA,56,17.8,5.3,90,56
DIC,14,11,0.0327,0.0014,3.368,NA,64,19.4,5.4,89,50
DIC,14,12,0.0396,0.0026,3.370,NA,52,21.3,4.1,101,43
DIC,14,13,0.0468,0.0032,3.371,NA,48,23.3,2.8,128,38
DIC,14,14,0.0535,0.0012,3.361,NA,43,25.1,2.4,204,33
DIC,14,15,0.0537,0.0010,3.480,NA,45,26.2,3.3,285,29
DIC,14,16,0.0524,0.0005,3.401,NA,37,26.3,2.9,245,29
DIC,14,17,0.0463,NA,3.554,NA,45,24.4,2.9,278,32
DIC,14,18,0.0381,NA,3.593,NA,51,23.4,2.8,237,34
DIC,14,19,0.0280,NA,3.388,NA,51,21.2,4.2,171,42
DIC,14,20,0.0260,NA,3.492,NA,73,20.0,3.4,187,43
DIC,14,21,0.0210,NA,3.458,NA,59,19.8,3.3,223,44
DIC,14,22,0.0202,NA,3.466,NA,45,18.5,2.8,216,50
DIC,14,23,0.0218,NA,3.444,NA,39,17.3,2.3,213,56
DIC,15,0,0.0084,NA,3.545,NA,45,15.5,1.3,140,59
DIC,15,1,0.0040,NA,3.533,NA,45,14.2,1.3,143,62
DIC,15,2,0.0119,0.0031,3.400,NA,40,14.1,1.8,240,65
DIC,15,3,0.0046,0.0031,3.441,NA,33,13.0,1.5,148,68
DIC,15,4,0.0008,0.0043,3.411,NA,38,12.1,1.3,247,67
DIC,15,5,0.0016,0.0043,3.514,NA,36,11.5,1.3,138,70
DIC,15,6,0.0001,0.0049,3.639,NA,45,10.4,1.0,191,72
DIC,15,7,0.0001,0.0058,3.897,NA,59,9.7,1.3,130,76
DIC,15,8,0.0004,0.0066,4.456,NA,80,10.5,1.4,164,73
DIC,15,9,0.0006,0.0078,4.887,NA,127,13.5,1.5,142,68
DIC,15,10,0.0038,0.0073,3.987,NA,141,17.5,2.1,202,58
DIC,15,11,0.0225,0.0050,3.355,NA,52,20.6,2.5,260,51
DIC,15,12,0.0293,0.0042,3.279,NA,20,22.4,3.7,255,42
DIC,15,13,0.0325,0.0035,3.275,NA,27,22.7,4.6,254,37
DIC,15,14,0.0371,0.0029,3.343,NA,35,22.3,4.7,269,38
