fold,model,mae
1,A,0.721
2,A,1.3237
3,A,1.0185
4,A,1.2732
5,A,1.0513
6,A,1.3218
7,A,1.3283
8,A,1.2849
9,A,1.1733
10,A,1.4125
11,A,1.091
12,A,1.2397
13,A,1.0259
14,A,1.3455
15,A,1.1056
16,A,1.3248
17,A,1.2477
18,A,1.4815
19,A,1.3567
20,A,1.2356
21,A,1.1534
22,A,1.0307
23,A,1.343
24,A,1.2336
25,A,1.2051
1,B,1.1637
2,B,1.0751
3,B,1.0525
4,B,1.0204
5,B,1.3089
6,B,0.799
7,B,0.951
8,B,1.2884
9,B,0.6743
10,B,1.1092
11,B,1.0117
12,B,1.0739
13,B,1.2017
14,B,1.0322
15,B,1.0755
16,B,0.8956
17,B,0.7898
18,B,0.7464
19,B,1.0479
20,B,0.9989
21,B,0.6774
22,B,1.2583
23,B,0.8417
24,B,0.9713
25,B,1.4208
