timestamp,station,pm25_ug_m3
2026-02-10 06:00:00,Norte,45.06
2026-02-10 07:00:00,Norte,37.37
2026-02-10 08:00:00,Norte,43.49
2026-02-10 09:00:00,Norte,52.82
2026-02-10 10:00:00,Norte,48.63
2026-02-10 11:00:00,Norte,34.28
2026-02-10 12:00:00,Norte,30.88
2026-02-10 13:00:00,Norte,30.37
2026-02-10 14:00:00,Norte,13.91
2026-02-10 15:00:00,Norte,40.84
2026-02-10 16:00:00,Norte,43.91
2026-02-10 17:00:00,Norte,35.65
2026-02-10 18:00:00,Norte,18.76
2026-02-10 19:00:00,Norte,26.12
2026-02-10 20:00:00,Norte,30.66
2026-02-10 21:00:00,Norte,27.33
2026-02-10 22:00:00,Norte,32.48
2026-02-10 23:00:00,Norte,30.79
2026-02-11 00:00:00,Norte,32.88
2026-02-11 01:00:00,Norte,31.54
2026-02-11 02:00:00,Norte,30.55
2026-02-11 03:00:00,Norte,43.5
2026-02-11 04:00:00,Norte,27.81
2026-02-11 05:00:00,Norte,31.91
2026-02-11 06:00:00,Norte,35.61
2026-02-11 07:00:00,Norte,29.7
2026-02-11 08:00:00,Norte,31.08
2026-02-11 09:00:00,Norte,27.23
2026-02-11 10:00:00,Norte,36.78
2026-02-11 11:00:00,Norte,36.4
2026-02-11 12:00:00,Norte,29.54
2026-02-11 13:00:00,Norte,32.75
2026-02-11 14:00:00,Norte,30.51
2026-02-11 15:00:00,Norte,31.32
2026-02-11 16:00:00,Norte,40.52
2026-02-11 17:00:00,Norte,33.16
2026-02-11 18:00:00,Norte,23.57
2026-02-11 19:00:00,Norte,50.9
2026-02-11 20:00:00,Norte,45.33
2026-02-11 21:00:00,Norte,37.9
2026-02-11 22:00:00,Norte,35.56
2026-02-11 23:00:00,Norte,33.51
2026-02-12 00:00:00,Norte,30.37
2026-02-12 01:00:00,Norte,44.48
2026-02-12 02:00:00,Norte,28.33
2026-02-12 03:00:00,Norte,35.27
2026-02-12 04:00:00,Norte,37.77
2026-02-12 05:00:00,Norte,29.86
2026-02-12 06:00:00,Norte,32.31
2026-02-12 07:00:00,Norte,32.75
2026-02-15 06:00:00,Sur,51.73
2026-02-15 07:00:00,Sur,46.69
2026-02-15 08:00:00,Sur,30.1
2026-02-15 09:00:00,Sur,42.59
2026-02-15 10:00:00,Sur,31.8
2026-02-15 11:00:00,Sur,24.7
2026-02-15 12:00:00,Sur,39.36
2026-02-15 13:00:00,Sur,19.49
2026-02-15 14:00:00,Sur,30.47
2026-02-15 15:00:00,Sur,32.18
2026-02-15 16:00:00,Sur,24.45
2026-02-15 17:00:00,Sur,37.02
2026-02-15 18:00:00,Sur,41.36
2026-02-15 19:00:00,Sur,42.76
2026-02-15 20:00:00,Sur,35.39
2026-02-15 21:00:00,Sur,43.98
2026-02-15 22:00:00,Sur,39.17
2026-02-15 23:00:00,Sur,55.64
2026-02-16 00:00:00,Sur,51.58
2026-02-16 01:00:00,Sur,33.23
2026-02-16 02:00:00,Sur,44.05
2026-02-16 03:00:00,Sur,24.88
2026-02-16 04:00:00,Sur,10.09
2026-02-16 05:00:00,Sur,42.18
2026-02-16 06:00:00,Sur,48.55
2026-02-16 07:00:00,Sur,38.65
2026-02-16 08:00:00,Sur,24.03
2026-02-16 09:00:00,Sur,31.68
2026-02-16 10:00:00,Sur,31.72
2026-02-16 11:00:00,Sur,50.93
2026-02-16 12:00:00,Sur,54.76
2026-02-16 13:00:00,Sur,38.11
2026-02-16 14:00:00,Sur,66.39
2026-02-16 15:00:00,Sur,42.01
2026-02-16 16:00:00,Sur,30.65
2026-02-16 17:00:00,Sur,38.67
2026-02-16 18:00:00,Sur,24.88
2026-02-16 19:00:00,Sur,32.85
2026-02-16 20:00:00,Sur,49.75
2026-02-16 21:00:00,Sur,38.12
2026-02-16 22:00:00,Sur,30.49
2026-02-16 23:00:00,Sur,40.94
2026-02-17 00:00:00,Sur,41.07
2026-02-17 01:00:00,Sur,27.26
2026-02-17 02:00:00,Sur,44.12
2026-02-17 03:00:00,Sur,26.52
2026-02-17 04:00:00,Sur,49.38
2026-02-17 05:00:00,Sur,46.35
2026-02-17 06:00:00,Sur,39.96
2026-02-17 07:00:00,Sur,41.84
