experiment_id,rmse_before,rmse_after
1,15.191,13.926
2,12.496,11.396
3,5.433,4.197
4,12.992,10.76
5,8.948,6.312
6,10.713,8.612
7,12.433,9.35
8,13.552,10.607
9,16.246,13.441
10,12.807,11.548
11,12.784,11.56
12,10.926,9.956
13,11.032,10.805
14,8.995,7.96
15,11.513,10.018
16,10.15,8.465
17,9.057,8.136
18,12.935,9.928
19,9.207,7.306
20,8.52,7.479
21,10.041,7.375
22,10.175,8.496
23,12.38,9.934
24,13.917,13.129
25,12.042,9.011
26,11.727,9.081
27,13.106,11.846
28,10.352,7.441
29,10.723,8.628
30,11.21,9.466
31,8.806,7.6
32,14.438,12.601
33,14.519,13.662
34,10.391,8.069
35,10.028,6.895
36,13.399,11.907
37,11.235,9.992
38,8.82,7.154
39,13.492,10.778
40,13.301,11.911
