sample_id,error_before_mps2,error_after_mps2
1,0.1676,0.0784
2,0.2956,0.1562
3,0.507,0.3133
4,0.0503,0.0148
5,0.3382,0.1577
6,0.2927,0.1347
7,0.311,0.2001
8,0.3624,0.1391
9,0.3428,0.1541
10,0.3943,0.2343
11,0.2338,0.1441
12,0.2755,0.1479
13,0.3908,0.2232
14,0.5138,0.2827
15,0.341,0.2281
16,0.3298,0.1787
17,0.2871,0.176
18,0.426,0.2796
19,0.3182,0.1253
20,0.3731,0.2189
21,0.3657,0.1708
22,0.3591,0.1922
23,0.3857,0.2303
24,0.24,0.0964
25,0.1757,0.0792
26,0.4185,0.2415
27,0.3216,0.1906
28,0.438,0.2223
29,0.3261,0.1953
30,0.443,0.2284
