instance_id,pre_error,post_error
1,1.2091,0.688
2,2.0741,1.4157
3,2.0969,1.5446
4,2.1991,1.528
5,2.3107,1.9447
6,3.3765,2.5694
7,2.1854,1.5175
8,2.7961,2.1439
9,2.9869,2.2721
10,1.8433,1.6371
11,3.2192,2.6275
12,2.2076,1.6184
13,1.9488,1.6823
14,2.5556,1.8074
15,2.7421,2.1751
16,2.7283,2.0704
17,3.6935,2.826
18,3.1415,2.746
19,2.0608,1.5653
20,2.7069,2.4215
21,1.9672,1.4825
22,3.0789,2.2561
23,2.4439,1.8892
24,2.1463,2.1216
25,3.419,2.2127
26,3.165,2.4125
27,2.2699,1.6707
28,1.0283,0.6966
29,2.7702,2.0769
30,1.54,1.0396
