trial,board,power_W
1,Raspberry Pi 5,5.137
2,Raspberry Pi 5,4.503
3,Raspberry Pi 5,4.332
4,Raspberry Pi 5,5.346
5,Raspberry Pi 5,4.513
6,Raspberry Pi 5,4.902
7,Raspberry Pi 5,4.466
8,Raspberry Pi 5,4.299
9,Raspberry Pi 5,3.435
10,Raspberry Pi 5,4.697
11,Raspberry Pi 5,3.959
12,Raspberry Pi 5,4.984
13,Raspberry Pi 5,4.574
14,Raspberry Pi 5,5.408
15,Raspberry Pi 5,4.285
16,Raspberry Pi 5,4.71
17,Raspberry Pi 5,4.483
18,Raspberry Pi 5,5.499
19,Raspberry Pi 5,4.511
20,Raspberry Pi 5,4.209
21,Raspberry Pi 5,4.159
22,Raspberry Pi 5,4.99
23,Raspberry Pi 5,4.682
24,Raspberry Pi 5,3.903
25,Raspberry Pi 5,5.322
26,Raspberry Pi 5,4.72
27,Raspberry Pi 5,5.74
28,Raspberry Pi 5,5.105
29,Raspberry Pi 5,4.223
30,Raspberry Pi 5,4.631
1,Jetson Nano,5.193
2,Jetson Nano,5.132
3,Jetson Nano,7.094
4,Jetson Nano,6.213
5,Jetson Nano,7.07
6,Jetson Nano,6.104
7,Jetson Nano,6.107
8,Jetson Nano,5.715
9,Jetson Nano,7.436
10,Jetson Nano,6.865
11,Jetson Nano,7.6
12,Jetson Nano,5.028
13,Jetson Nano,6.503
14,Jetson Nano,5.698
15,Jetson Nano,5.527
16,Jetson Nano,4.93
17,Jetson Nano,4.956
18,Jetson Nano,6.701
19,Jetson Nano,7.604
20,Jetson Nano,6.123
21,Jetson Nano,5.819
22,Jetson Nano,5.387
23,Jetson Nano,5.891
24,Jetson Nano,5.821
25,Jetson Nano,6.023
26,Jetson Nano,7.173
27,Jetson Nano,6.093
28,Jetson Nano,5.346
29,Jetson Nano,5.598
30,Jetson Nano,6.706
