request_id,response_time_ms,service_tier
1,135.59,silver
2,101.93,gold
3,140.63,gold
4,135.65,silver
5,140.35,gold
6,95.47,silver
7,123.85,gold
8,117.8,gold
9,181.82,gold
10,123.79,silver
11,135.32,silver
12,138.01,silver
13,107.29,silver
14,139.18,gold
15,149.6,gold
16,132.12,gold
17,140.24,silver
18,161.77,gold
19,107.04,silver
20,133.13,gold
21,135.09,silver
22,120.43,silver
23,156.16,gold
24,113.62,silver
25,132.94,gold
26,126.83,silver
27,106.93,silver
28,117.62,silver
29,129.91,silver
30,144.78,silver
