universidad_id,universidad_nombre,universidad_fecha_fundacion,universidad_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,universidad_calle_numero,universidad_colonia,universidad_cp,email,longitud,latitud,link_sic,fecha_mod,nom_ent_corto,fn_universidad_colonia,nom_ent_etq
4295,Universidad de Ciencias y Artes de Chiapas (UNICACH) sede Acapetahua,NA,,0,Total nacional,0,Total nacional,0,Total nacional,Central Norte entre 4a y 5a Norte s/n,,30580,irving.santos@unicach.mx,-92.69254,15.28582,http://sic.gob.mx/ficha.php?table=universidad&table_id=4295,1727462230,México,NA,Total Nacional
4201,Instituto Tecnológico Superior de Cd. Serdán,10831,SEP/Tecnológico Nacional de México (TecNM),0,Total nacional,0,Total nacional,0,Total nacional,Av. Instituto Tecnológico s/n,Col. La Gloria,75520,sgi@cdserdan.tecnm.mx,-97.46377,18.99861,http://sic.gob.mx/ficha.php?table=universidad&table_id=4201,1724096099,México,NA,Total Nacional
2655,Instituto de Psicoterapias Humanistas,8766,,1,Aguascalientes,0,Total de la entidad Aguascalientes,0,Total de la Entidad,Av. Madero 612,Barrio de la Purísima,20259,,0,0,http://sic.gob.mx/ficha.php?table=universidad&table_id=2655,1549982958,Aguascalientes,NA,Aguascalientes
4149,Universidad La Concordia,NA,,1,Aguascalientes,1,Aguascalientes,0,Total del Municipio,Av Tecnológico 107,Ojocaliente,20180,,-102.26674,21.88296,http://sic.gob.mx/ficha.php?table=universidad&table_id=4149,1721777109,Aguascalientes,NA,Aguascalientes
1261,"Universidad del Valle de Atemajac,  Plantel Aguascalientes",11179,,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. Siglo XXI núm. 7501,Fracc. Solidaridad III,20263,promocion.aguascalientes@univa.mx,-102.25199,21.85691,http://sic.gob.mx/ficha.php?table=universidad&table_id=1261,1481043093,Aguascalientes,NA,Aguascalientes
208,"Universidad Cuauhtémoc,  Plantel Aguascalientes",9598,,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Adolfo López Mateos 102,Col. Trojes de Alonso,20908,informes@ucuahutemoc.edu.mx,-102.30019,21.94139,http://sic.gob.mx/ficha.php?table=universidad&table_id=208,1550151178,Aguascalientes,NA,Aguascalientes
2657,Instituto Estatal de Seguridad Pública de Aguascalientes,15492,,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. Los Conos 105,Fracc. Ojocaliente Inegi,20196,iespa@aguascalientes.gob.mx,-102.29605,21.87982,http://sic.gob.mx/ficha.php?table=universidad&table_id=2657,1550060404,Aguascalientes,NA,Aguascalientes
1282,Instituto Guadalupe Victoria,-4623,"Instituto Guadalupe Victoria, A.C.",1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Estrella Polar 102,Col. Bona Gens,20255,escuelanormaligv@hotmail.com,-102.26604,21.87616,http://sic.gob.mx/ficha.php?table=universidad&table_id=1282,1618320351,Aguascalientes,NA,Aguascalientes
2654,"Instituto de Estudios Superiores ISIMA, Plantel Aguascalientes",16102,ISIMA,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Lic. Adolfo López Mateos Ote 327,Barrio del Encino,20240,aguascalientes@isima.com.mx,-102.29605,21.87982,http://sic.gob.mx/ficha.php?table=universidad&table_id=2654,1695891689,Aguascalientes,NA,Aguascalientes
739,Universidad Autónoma de Aguascalientes (UAA),1265,Universidad Autónoma de Aguascalientes (UAA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,"Av. Universidad 940, edif. 1",Ciudad Universitaria,20131,rector@correo.uaa.mx; cvargas@correo.uaa.mx,-102.31315,21.91377,http://sic.gob.mx/ficha.php?table=universidad&table_id=739,1550149126,Aguascalientes,NA,Aguascalientes
