dia,marca,activaciones
1,A,28
2,A,29
3,A,42
4,A,32
5,A,24
6,A,44
7,A,33
8,A,40
9,A,43
10,A,44
11,A,43
12,A,59
13,A,44
14,A,43
15,A,19
16,A,47
17,A,22
18,A,47
19,A,56
20,A,27
21,A,37
22,A,46
23,A,34
24,A,17
25,A,15
26,A,59
27,A,54
28,A,37
29,A,17
30,A,36
31,A,21
32,A,43
33,A,31
34,A,31
35,A,47
36,A,31
37,A,41
38,A,55
39,A,25
40,A,25
1,B,46
2,B,37
3,B,55
4,B,51
5,B,31
6,B,87
7,B,24
8,B,30
9,B,62
10,B,46
11,B,30
12,B,23
13,B,30
14,B,22
15,B,62
16,B,26
17,B,38
18,B,49
19,B,18
20,B,32
21,B,39
22,B,49
23,B,41
24,B,34
25,B,27
26,B,54
27,B,31
28,B,30
29,B,28
30,B,53
31,B,46
32,B,49
33,B,39
34,B,46
35,B,39
36,B,36
37,B,72
38,B,27
39,B,55
40,B,44
