region,approved
Sur,No
Centro,Si
Oeste,Si
Sur,Si
Centro,Si
Centro,No
Centro,Si
Sur,No
Norte,No
Oeste,Si
Norte,Si
Sur,Si
Norte,Si
Sur,Si
Norte,Si
Centro,Si
Oeste,Si
Centro,Si
Norte,No
Sur,Si
Sur,Si
Centro,Si
Norte,Si
Centro,No
Centro,Si
Oeste,No
Norte,Si
Centro,No
Oeste,Si
Norte,Si
Centro,No
Norte,No
Norte,Si
Sur,No
Centro,No
Oeste,Si
Norte,No
Centro,Si
Centro,Si
Centro,No
Centro,Si
Norte,No
Sur,Si
Norte,Si
Sur,Si
Oeste,Si
Norte,Si
Sur,Si
Norte,Si
Norte,Si
Centro,Si
Oeste,Si
Oeste,No
Norte,Si
Norte,Si
Norte,Si
Oeste,No
Norte,No
Norte,No
Norte,No
Norte,Si
Norte,No
Centro,Si
Oeste,No
Oeste,No
Centro,No
Centro,Si
Sur,Si
Centro,No
Sur,Si
Norte,No
Centro,No
Centro,No
Norte,No
Sur,No
Oeste,Si
Sur,No
Norte,No
Sur,Si
Sur,Si
Oeste,Si
Norte,Si
Sur,Si
Centro,No
Centro,Si
Norte,No
Centro,No
Norte,No
Centro,Si
Sur,Si
Centro,Si
Oeste,Si
Oeste,Si
Norte,Si
Centro,No
Norte,Si
Norte,No
Norte,Si
Centro,Si
Sur,Si
Norte,No
Sur,No
Centro,Si
Sur,Si
Centro,Si
Oeste,Si
Norte,No
Oeste,No
Centro,No
Oeste,No
Centro,Si
Sur,No
Norte,Si
Centro,No
Oeste,Si
Centro,Si
Sur,Si
Norte,Si
Centro,Si
Centro,No
Centro,Si
Oeste,No
Sur,Si
Norte,Si
Oeste,Si
Oeste,Si
Norte,No
Norte,No
Norte,Si
Norte,No
Oeste,Si
Centro,No
Centro,No
Centro,Si
Sur,No
Oeste,Si
Oeste,No
Norte,No
Centro,No
Sur,Si
Norte,Si
Centro,No
Norte,Si
Sur,No
Sur,No
Sur,Si
Norte,No
Norte,Si
Oeste,No
Sur,No
Centro,Si
Centro,No
Oeste,No
Norte,No
Sur,Si
Sur,No
Sur,Si
Centro,No
Norte,Si
Oeste,Si
Centro,No
Oeste,Si
Centro,Si
Oeste,Si
Oeste,Si
Centro,Si
Centro,Si
Norte,No
Sur,Si
Centro,Si
Norte,No
Centro,Si
Sur,Si
Centro,Si
Sur,Si
Sur,Si
Oeste,No
Centro,No
Centro,No
Oeste,Si
Oeste,Si
Centro,No
Centro,Si
Centro,Si
Sur,Si
Sur,No
Centro,Si
Sur,Si
Sur,Si
Sur,Si
Sur,No
Centro,Si
Centro,Si
Oeste,No
Centro,Si
Centro,No
Sur,Si
Norte,No
Oeste,Si
Oeste,Si
Centro,No
Sur,Si
Centro,Si
Centro,Si
Sur,No
Oeste,Si
Centro,Si
Sur,Si
Sur,No
Sur,No
Centro,Si
Centro,Si
Norte,Si
Sur,No
Norte,Si
Oeste,No
Norte,No
Sur,Si
Oeste,Si
Norte,No
Sur,No
Centro,No
Centro,Si
Centro,Si
Norte,Si
Oeste,Si
Norte,No
Norte,Si
Centro,No
Sur,No
Centro,No
Norte,Si
Sur,No
Norte,No
Norte,No
Centro,Si
Sur,Si
Norte,Si
Oeste,No
Oeste,No
Centro,Si
Sur,Si
Sur,No
Centro,No
Norte,Si
Centro,Si
Norte,No
Centro,Si
Sur,No
Norte,No
Sur,No
Norte,No
Oeste,Si
Norte,No
Norte,No
Norte,Si
Norte,No
Norte,No
Centro,Si
Norte,Si
Norte,Si
Norte,Si
Centro,Si
Norte,Si
Centro,Si
Norte,Si
Oeste,No
Norte,Si
Norte,Si
Oeste,Si
Centro,Si
Norte,Si
Oeste,Si
Centro,Si
Sur,No
Centro,No
Centro,No
Centro,Si
Sur,No
Sur,Si
Oeste,Si
Centro,No
Norte,No
Oeste,Si
Centro,Si
Oeste,Si
Norte,Si
Centro,No
Norte,Si
Sur,No
Oeste,No
Oeste,No
Sur,No
Oeste,Si
Norte,Si
Norte,Si
Sur,Si
Oeste,Si
Oeste,Si
Sur,Si
Oeste,Si
Norte,Si
Centro,Si
Oeste,Si
Oeste,Si
Centro,No
Norte,Si
Norte,Si
Norte,Si
Sur,Si
Sur,Si
Norte,Si
Norte,Si
Oeste,No
Centro,Si
Centro,No
Norte,Si
Sur,Si
Centro,Si
Oeste,No
Sur,No
Sur,Si
Oeste,Si
Centro,Si
Norte,Si
Centro,Si
Norte,Si
Sur,Si
Sur,No
Oeste,No
Centro,Si
Centro,No
Centro,No
Sur,Si
Norte,Si
Norte,Si
Centro,No
Sur,No
Oeste,Si
Oeste,No
Norte,Si
Oeste,No
Sur,Si
Oeste,No
Centro,No
Sur,No
Norte,Si
Centro,Si
Oeste,No
Oeste,No
Centro,No
Centro,No
Norte,Si
Sur,No
Centro,No
Sur,Si
Oeste,No
Norte,No
Norte,Si
Sur,No
Centro,Si
Oeste,No
Sur,No
Oeste,Si
Sur,Si
Sur,No
Centro,No
Sur,Si
Sur,Si
Sur,Si
Centro,Si
Norte,No
Sur,Si
Norte,Si
Norte,No
Norte,Si
Oeste,No
Centro,No
Sur,No
Norte,Si
Norte,Si
Oeste,Si
Sur,Si
Norte,Si
Norte,Si
Sur,Si
Norte,No
Norte,Si
Sur,No
Centro,No
Sur,Si
Sur,Si
Centro,Si
Centro,No
Norte,Si
Norte,Si
Sur,No
Sur,Si
Norte,Si
Sur,Si
Norte,No
Sur,Si
Norte,No
Norte,No
Centro,Si
Centro,No
Norte,Si
Oeste,No
Norte,Si
Centro,Si
Centro,Si
Sur,No
Norte,No
Norte,Si
Norte,Si
Centro,Si
Centro,Si
Oeste,No
Centro,No
Oeste,Si
Norte,Si
Norte,Si
Centro,No
Oeste,No
Sur,Si
Oeste,Si
Norte,Si
Oeste,Si
Norte,Si
Centro,Si
Sur,Si
Centro,No
Sur,No
Norte,Si
Norte,Si
Norte,No
Centro,Si
Sur,Si
Centro,No
Centro,Si
Centro,No
Centro,Si
Sur,No
Centro,No
Norte,No
Sur,Si
Centro,No
Centro,Si
Sur,Si
Norte,No
Centro,Si
Norte,No
Oeste,No
Oeste,Si
Centro,Si
Norte,Si
Norte,Si
Sur,No
Norte,Si
Norte,No
Centro,No
Centro,Si
Norte,Si
Sur,No
Centro,Si
Sur,No
Centro,No
Oeste,No
Sur,No
Norte,No
Oeste,No
Sur,No
Sur,No
Norte,Si
Oeste,Si
Oeste,Si
Centro,Si
Oeste,Si
Sur,Si
Norte,Si
Centro,Si
Oeste,Si
Centro,Si
Oeste,Si
Norte,Si
Oeste,Si
Norte,Si
Norte,Si
Centro,No
Oeste,Si
Centro,No
Centro,No
Norte,Si
Centro,Si
Norte,No
Norte,Si
Sur,No
Centro,Si
Norte,Si
Norte,Si
Oeste,Si
Centro,No
Norte,Si
Centro,Si
Oeste,No
Norte,Si
Centro,No
Sur,No
Sur,Si
Oeste,Si
Norte,Si
Centro,Si
Sur,No
Norte,Si
Centro,Si
Sur,Si
Norte,Si
Centro,No
Norte,No
Centro,No
Norte,Si
Norte,Si
Centro,Si
Sur,Si
Norte,No
Norte,Si
Oeste,No
Oeste,No
Oeste,No
Sur,No
Centro,No
Oeste,Si
Sur,Si
Norte,Si
Sur,No
Centro,Si
Oeste,Si
Centro,Si
Centro,Si
Norte,No
Norte,No
Centro,No
Norte,No
Sur,Si
Centro,Si
Norte,Si
Norte,Si
Norte,Si
Centro,Si
Centro,Si
Oeste,Si
Sur,No
Norte,Si
Sur,Si
Norte,Si
Centro,No
Norte,Si
Centro,Si
Centro,Si
Centro,No
Centro,Si
Sur,No
Centro,Si
Norte,Si
Centro,No
Norte,Si
Norte,No
Norte,No
Norte,Si
Norte,Si
Sur,Si
Sur,No
Oeste,Si
Norte,No
Centro,No
Norte,No
Sur,No
Centro,No
Sur,No
Sur,No
Centro,No
Norte,Si
Oeste,No
Sur,Si
Oeste,Si
Centro,No
Oeste,Si
Sur,No
Norte,No
Norte,Si
Norte,Si
Sur,Si
Centro,Si
Centro,No
Norte,Si
Sur,Si
Norte,No
Centro,No
Sur,Si
Sur,No
Norte,Si
Centro,No
Oeste,Si
Centro,Si
Sur,Si
Norte,Si
Centro,Si
Norte,Si
Centro,Si
Norte,No
Centro,Si
Centro,No
Centro,Si
Norte,Si
Centro,Si
Centro,Si
Sur,No
Sur,Si
Centro,Si
Centro,No
Centro,Si
Norte,No
Centro,No
Centro,No
Centro,No
Sur,Si
Oeste,Si
Oeste,Si
Centro,No
Norte,Si
Sur,Si
Norte,No
Centro,Si
Norte,Si
Oeste,Si
Centro,Si
Norte,Si
Norte,Si
Centro,Si
Centro,Si
