sensor_type,failure_type
Humedad,Ambiental
Humedad,Electrica
Temp,Electrica
Humedad,Ambiental
Humedad,Comunicacion
Temp,Ambiental
Temp,Ambiental
Vibracion,Electrica
Temp,Ambiental
Vibracion,Electrica
Temp,Electrica
Vibracion,Ambiental
Vibracion,Electrica
Vibracion,Electrica
Vibracion,Electrica
Vibracion,Ambiental
Vibracion,Ambiental
Vibracion,Ambiental
Temp,Ambiental
Vibracion,Comunicacion
Humedad,Ambiental
Vibracion,Comunicacion
Humedad,Ambiental
Temp,Ambiental
Humedad,Electrica
Temp,Comunicacion
Temp,Electrica
Humedad,Electrica
Humedad,Ambiental
Vibracion,Ambiental
Temp,Ambiental
Humedad,Comunicacion
Temp,Electrica
Temp,Ambiental
Humedad,Ambiental
Humedad,Electrica
Temp,Comunicacion
Humedad,Comunicacion
Humedad,Ambiental
Humedad,Ambiental
Temp,Ambiental
Temp,Electrica
Vibracion,Ambiental
Temp,Ambiental
Vibracion,Comunicacion
Vibracion,Electrica
Vibracion,Electrica
Humedad,Comunicacion
Vibracion,Comunicacion
Humedad,Electrica
Temp,Electrica
Vibracion,Electrica
Humedad,Comunicacion
Temp,Electrica
Humedad,Ambiental
Humedad,Ambiental
Vibracion,Electrica
Vibracion,Ambiental
Vibracion,Comunicacion
Temp,Electrica
Humedad,Ambiental
Humedad,Comunicacion
Temp,Electrica
Temp,Comunicacion
Vibracion,Electrica
Humedad,Ambiental
Temp,Electrica
Vibracion,Comunicacion
Temp,Comunicacion
Vibracion,Ambiental
Humedad,Comunicacion
Humedad,Electrica
Vibracion,Ambiental
Vibracion,Comunicacion
Vibracion,Comunicacion
Humedad,Ambiental
Humedad,Ambiental
Temp,Electrica
Vibracion,Electrica
Temp,Electrica
Temp,Electrica
Temp,Ambiental
Temp,Ambiental
Temp,Electrica
Temp,Electrica
Humedad,Comunicacion
Humedad,Ambiental
Humedad,Electrica
Temp,Comunicacion
Temp,Comunicacion
Temp,Ambiental
Humedad,Comunicacion
Humedad,Electrica
Temp,Electrica
Temp,Ambiental
Temp,Comunicacion
Temp,Electrica
Temp,Electrica
Vibracion,Comunicacion
Vibracion,Comunicacion
Vibracion,Electrica
Vibracion,Comunicacion
Temp,Ambiental
Temp,Electrica
Vibracion,Comunicacion
Vibracion,Comunicacion
Vibracion,Comunicacion
Humedad,Comunicacion
Vibracion,Comunicacion
Vibracion,Electrica
Temp,Electrica
Vibracion,Electrica
Temp,Ambiental
Vibracion,Comunicacion
Humedad,Ambiental
Humedad,Ambiental
Vibracion,Ambiental
Vibracion,Ambiental
Humedad,Comunicacion
Humedad,Electrica
Vibracion,Comunicacion
Vibracion,Comunicacion
Temp,Electrica
Temp,Ambiental
Temp,Comunicacion
Humedad,Electrica
Vibracion,Comunicacion
Temp,Ambiental
Temp,Ambiental
Vibracion,Comunicacion
Vibracion,Electrica
Temp,Electrica
Temp,Ambiental
Temp,Comunicacion
Vibracion,Electrica
Temp,Ambiental
Temp,Electrica
Vibracion,Ambiental
Vibracion,Comunicacion
Vibracion,Comunicacion
Vibracion,Comunicacion
Humedad,Electrica
Temp,Electrica
Vibracion,Ambiental
Temp,Electrica
Vibracion,Comunicacion
Humedad,Comunicacion
Temp,Ambiental
Humedad,Comunicacion
Humedad,Comunicacion
Temp,Electrica
Humedad,Electrica
Humedad,Ambiental
Humedad,Electrica
Vibracion,Ambiental
Temp,Electrica
Vibracion,Comunicacion
Vibracion,Comunicacion
Humedad,Ambiental
Vibracion,Ambiental
Temp,Electrica
Vibracion,Comunicacion
Humedad,Ambiental
Temp,Electrica
Temp,Ambiental
Temp,Comunicacion
Humedad,Comunicacion
Humedad,Comunicacion
Humedad,Comunicacion
Temp,Electrica
Vibracion,Comunicacion
Vibracion,Comunicacion
Humedad,Ambiental
Temp,Ambiental
Humedad,Electrica
Humedad,Ambiental
Temp,Comunicacion
Humedad,Ambiental
Humedad,Comunicacion
Temp,Electrica
Humedad,Electrica
Humedad,Ambiental
Temp,Comunicacion
Humedad,Ambiental
Temp,Comunicacion
Temp,Ambiental
Temp,Electrica
Temp,Electrica
Temp,Comunicacion
Humedad,Electrica
Humedad,Ambiental
Vibracion,Comunicacion
Temp,Electrica
Vibracion,Ambiental
Temp,Comunicacion
Vibracion,Ambiental
Temp,Comunicacion
Temp,Electrica
Temp,Comunicacion
Temp,Ambiental
Humedad,Ambiental
Vibracion,Ambiental
Temp,Electrica
Vibracion,Comunicacion
Temp,Electrica
Vibracion,Comunicacion
Humedad,Electrica
Humedad,Electrica
Temp,Ambiental
Temp,Ambiental
Humedad,Ambiental
Humedad,Ambiental
Vibracion,Comunicacion
Humedad,Comunicacion
Humedad,Comunicacion
Humedad,Electrica
Temp,Comunicacion
Temp,Electrica
Temp,Comunicacion
Vibracion,Electrica
Vibracion,Ambiental
Vibracion,Comunicacion
Humedad,Ambiental
Humedad,Electrica
Humedad,Ambiental
Humedad,Electrica
Temp,Ambiental
Humedad,Comunicacion
Temp,Electrica
Temp,Electrica
Vibracion,Comunicacion
Temp,Comunicacion
Vibracion,Comunicacion
Vibracion,Electrica
Temp,Ambiental
Vibracion,Electrica
Temp,Ambiental
Temp,Electrica
Vibracion,Comunicacion
Vibracion,Comunicacion
Vibracion,Comunicacion
Humedad,Ambiental
Humedad,Ambiental
Temp,Comunicacion
Vibracion,Comunicacion
Humedad,Ambiental
Humedad,Ambiental
Temp,Ambiental
Temp,Electrica
Temp,Ambiental
Temp,Electrica
Vibracion,Ambiental
Humedad,Ambiental
Temp,Electrica
Humedad,Ambiental
Humedad,Ambiental
Temp,Electrica
Humedad,Electrica
Vibracion,Comunicacion
Vibracion,Electrica
Vibracion,Ambiental
Vibracion,Comunicacion
Humedad,Electrica
Vibracion,Ambiental
Temp,Electrica
Vibracion,Electrica
Temp,Electrica
Humedad,Comunicacion
Temp,Electrica
Temp,Comunicacion
Humedad,Comunicacion
Temp,Comunicacion
Temp,Electrica
Temp,Ambiental
Temp,Ambiental
Humedad,Comunicacion
Humedad,Electrica
Temp,Electrica
Vibracion,Comunicacion
Temp,Ambiental
Humedad,Ambiental
Humedad,Ambiental
Temp,Ambiental
Humedad,Ambiental
Temp,Electrica
Temp,Electrica
Vibracion,Comunicacion
Humedad,Electrica
Humedad,Ambiental
Humedad,Ambiental
Vibracion,Comunicacion
Temp,Comunicacion
Temp,Comunicacion
Humedad,Ambiental
Vibracion,Comunicacion
Humedad,Electrica
Humedad,Electrica
Temp,Electrica
Vibracion,Ambiental
Vibracion,Electrica
Temp,Comunicacion
Vibracion,Comunicacion
Vibracion,Comunicacion
Humedad,Comunicacion
Vibracion,Comunicacion
Temp,Comunicacion
Temp,Comunicacion
Temp,Ambiental
Temp,Electrica
Humedad,Ambiental
Humedad,Ambiental
Humedad,Ambiental
Temp,Electrica
Temp,Ambiental
Humedad,Comunicacion
Temp,Comunicacion
Temp,Electrica
Humedad,Electrica
Temp,Ambiental
Vibracion,Comunicacion
Temp,Electrica
Humedad,Electrica
Temp,Electrica
Temp,Electrica
Vibracion,Comunicacion
Temp,Electrica
Temp,Electrica
Temp,Comunicacion
Vibracion,Comunicacion
Temp,Electrica
Temp,Electrica
Humedad,Ambiental
Vibracion,Comunicacion
Vibracion,Ambiental
Humedad,Electrica
Humedad,Comunicacion
Humedad,Ambiental
Temp,Comunicacion
Humedad,Ambiental
Temp,Ambiental
Temp,Ambiental
Temp,Ambiental
Temp,Electrica
Vibracion,Comunicacion
Humedad,Electrica
Humedad,Comunicacion
Humedad,Electrica
Humedad,Electrica
Vibracion,Ambiental
Humedad,Electrica
Vibracion,Electrica
Humedad,Ambiental
Vibracion,Comunicacion
Humedad,Comunicacion
Vibracion,Electrica
Humedad,Ambiental
Temp,Ambiental
Humedad,Ambiental
Vibracion,Electrica
Temp,Ambiental
Humedad,Ambiental
Humedad,Ambiental
Vibracion,Electrica
Vibracion,Comunicacion
Temp,Ambiental
Humedad,Ambiental
Humedad,Electrica
Temp,Ambiental
Humedad,Ambiental
Vibracion,Ambiental
Temp,Ambiental
Humedad,Ambiental
Temp,Electrica
Vibracion,Comunicacion
Humedad,Comunicacion
Temp,Electrica
Vibracion,Comunicacion
Temp,Electrica
Temp,Comunicacion
Humedad,Ambiental
Humedad,Ambiental
Vibracion,Electrica
Temp,Electrica
Vibracion,Electrica
Temp,Electrica
Temp,Electrica
Humedad,Ambiental
Humedad,Ambiental
Vibracion,Electrica
Temp,Ambiental
Vibracion,Comunicacion
Humedad,Electrica
Temp,Comunicacion
Vibracion,Comunicacion
Humedad,Comunicacion
Vibracion,Comunicacion
Vibracion,Comunicacion
Humedad,Ambiental
Vibracion,Electrica
Temp,Ambiental
Vibracion,Electrica
Humedad,Ambiental
Humedad,Ambiental
Humedad,Ambiental
Humedad,Comunicacion
Humedad,Electrica
Vibracion,Electrica
Humedad,Comunicacion
Vibracion,Electrica
Vibracion,Comunicacion
Humedad,Ambiental
Vibracion,Comunicacion
Temp,Electrica
Vibracion,Ambiental
Temp,Electrica
Vibracion,Ambiental
Vibracion,Electrica
Vibracion,Comunicacion
Vibracion,Comunicacion
Humedad,Ambiental
Temp,Electrica
Vibracion,Electrica
Temp,Ambiental
Vibracion,Comunicacion
Temp,Electrica
Temp,Electrica
Vibracion,Comunicacion
Humedad,Ambiental
Vibracion,Comunicacion
Vibracion,Comunicacion
Temp,Comunicacion
Vibracion,Electrica
Temp,Comunicacion
Temp,Electrica
Temp,Electrica
Humedad,Comunicacion
Humedad,Comunicacion
Temp,Electrica
Humedad,Ambiental
Vibracion,Ambiental
Temp,Ambiental
Vibracion,Ambiental
Temp,Ambiental
Temp,Comunicacion
Temp,Ambiental
Humedad,Electrica
Vibracion,Comunicacion
Temp,Electrica
Vibracion,Ambiental
Temp,Comunicacion
