age_group,accepted
36-50,Sí
18-25,No
26-35,No
26-35,Sí
18-25,Sí
36-50,Sí
36-50,No
18-25,No
26-35,No
18-25,Sí
18-25,Sí
18-25,Sí
26-35,Sí
26-35,Sí
36-50,No
26-35,Sí
26-35,Sí
36-50,Sí
36-50,No
18-25,Sí
18-25,No
26-35,Sí
18-25,Sí
18-25,No
26-35,Sí
26-35,Sí
26-35,Sí
26-35,No
26-35,No
18-25,Sí
26-35,Sí
18-25,No
18-25,Sí
18-25,No
18-25,No
18-25,No
26-35,Sí
26-35,No
18-25,Sí
18-25,No
26-35,No
26-35,No
26-35,No
18-25,Sí
36-50,Sí
36-50,Sí
18-25,Sí
36-50,Sí
26-35,No
26-35,Sí
26-35,Sí
36-50,No
26-35,No
18-25,No
26-35,No
18-25,Sí
36-50,No
26-35,No
18-25,Sí
36-50,No
26-35,No
18-25,Sí
26-35,Sí
36-50,No
18-25,Sí
26-35,Sí
18-25,No
18-25,No
18-25,No
26-35,No
18-25,Sí
18-25,Sí
18-25,No
36-50,Sí
36-50,Sí
18-25,Sí
26-35,No
18-25,Sí
26-35,No
36-50,Sí
36-50,Sí
26-35,No
26-35,Sí
26-35,No
26-35,Sí
18-25,Sí
26-35,Sí
18-25,Sí
26-35,No
18-25,No
18-25,No
36-50,Sí
26-35,No
36-50,Sí
18-25,Sí
18-25,Sí
18-25,No
18-25,No
26-35,No
26-35,Sí
18-25,Sí
26-35,Sí
18-25,Sí
36-50,No
18-25,Sí
36-50,No
18-25,No
18-25,Sí
18-25,No
26-35,No
26-35,No
36-50,No
26-35,Sí
26-35,Sí
18-25,No
36-50,No
18-25,Sí
36-50,Sí
26-35,Sí
18-25,No
18-25,Sí
18-25,Sí
26-35,Sí
26-35,No
36-50,No
26-35,Sí
36-50,Sí
36-50,Sí
18-25,No
26-35,No
18-25,Sí
36-50,Sí
18-25,Sí
26-35,Sí
36-50,No
26-35,Sí
18-25,Sí
26-35,Sí
26-35,Sí
18-25,No
36-50,No
26-35,Sí
26-35,No
26-35,No
36-50,No
26-35,Sí
26-35,Sí
26-35,No
26-35,No
36-50,Sí
18-25,No
18-25,No
26-35,No
36-50,Sí
26-35,No
18-25,No
18-25,Sí
26-35,No
26-35,Sí
26-35,Sí
26-35,Sí
26-35,Sí
26-35,Sí
18-25,No
26-35,No
26-35,Sí
18-25,Sí
18-25,Sí
36-50,No
26-35,Sí
26-35,Sí
26-35,Sí
18-25,Sí
36-50,Sí
18-25,No
18-25,No
18-25,No
26-35,Sí
36-50,Sí
26-35,Sí
26-35,Sí
26-35,No
26-35,Sí
36-50,No
26-35,Sí
36-50,No
36-50,No
18-25,Sí
26-35,Sí
26-35,No
26-35,Sí
26-35,Sí
26-35,Sí
26-35,No
18-25,No
18-25,Sí
18-25,Sí
26-35,Sí
36-50,No
36-50,No
26-35,No
26-35,Sí
36-50,Sí
36-50,No
26-35,Sí
26-35,Sí
36-50,Sí
36-50,No
36-50,No
26-35,No
18-25,Sí
36-50,No
18-25,Sí
18-25,Sí
18-25,Sí
26-35,Sí
18-25,No
18-25,Sí
26-35,Sí
18-25,Sí
36-50,Sí
26-35,Sí
18-25,Sí
18-25,No
26-35,Sí
18-25,Sí
18-25,Sí
18-25,Sí
26-35,Sí
18-25,Sí
26-35,Sí
36-50,No
36-50,Sí
26-35,Sí
26-35,Sí
26-35,Sí
26-35,Sí
36-50,No
26-35,No
26-35,No
18-25,Sí
26-35,Sí
18-25,Sí
26-35,No
26-35,No
18-25,No
18-25,Sí
18-25,Sí
18-25,Sí
36-50,No
18-25,Sí
18-25,Sí
18-25,No
26-35,Sí
36-50,Sí
26-35,No
18-25,Sí
26-35,No
18-25,Sí
18-25,No
26-35,Sí
26-35,No
26-35,No
26-35,Sí
18-25,Sí
36-50,No
18-25,Sí
36-50,No
36-50,Sí
18-25,No
18-25,No
36-50,No
36-50,Sí
26-35,Sí
18-25,No
36-50,Sí
36-50,No
26-35,Sí
26-35,No
26-35,No
18-25,Sí
26-35,Sí
18-25,No
26-35,Sí
26-35,No
18-25,Sí
26-35,Sí
18-25,Sí
26-35,No
26-35,Sí
18-25,Sí
18-25,No
36-50,No
26-35,No
18-25,No
26-35,Sí
18-25,No
26-35,No
18-25,Sí
36-50,No
18-25,Sí
36-50,Sí
18-25,Sí
18-25,Sí
26-35,No
26-35,Sí
26-35,Sí
18-25,Sí
18-25,No
26-35,No
26-35,No
26-35,No
36-50,No
36-50,No
26-35,Sí
26-35,Sí
36-50,No
18-25,No
18-25,No
36-50,No
18-25,Sí
26-35,No
18-25,Sí
18-25,Sí
18-25,Sí
36-50,Sí
18-25,Sí
18-25,Sí
36-50,No
26-35,Sí
26-35,Sí
26-35,Sí
26-35,Sí
26-35,Sí
18-25,Sí
18-25,No
18-25,Sí
36-50,Sí
18-25,Sí
26-35,No
26-35,Sí
18-25,No
18-25,No
18-25,No
18-25,No
36-50,Sí
26-35,No
36-50,Sí
36-50,Sí
26-35,No
18-25,Sí
18-25,No
26-35,Sí
18-25,No
18-25,Sí
26-35,No
18-25,No
36-50,Sí
18-25,No
18-25,No
36-50,Sí
18-25,Sí
18-25,No
18-25,Sí
18-25,Sí
26-35,Sí
18-25,No
26-35,Sí
18-25,Sí
26-35,Sí
26-35,No
36-50,Sí
26-35,No
26-35,Sí
36-50,No
26-35,Sí
18-25,Sí
36-50,No
26-35,No
18-25,Sí
36-50,Sí
18-25,Sí
26-35,Sí
18-25,Sí
26-35,No
26-35,Sí
36-50,Sí
26-35,No
26-35,Sí
36-50,Sí
36-50,Sí
36-50,No
26-35,Sí
18-25,Sí
36-50,Sí
18-25,No
26-35,No
18-25,Sí
26-35,Sí
18-25,No
36-50,No
18-25,No
18-25,Sí
36-50,No
18-25,No
26-35,Sí
26-35,Sí
26-35,Sí
26-35,Sí
26-35,No
18-25,No
18-25,No
26-35,No
18-25,No
18-25,Sí
26-35,Sí
18-25,No
36-50,No
18-25,No
36-50,No
18-25,Sí
18-25,Sí
18-25,Sí
18-25,No
36-50,Sí
18-25,Sí
26-35,No
26-35,No
26-35,Sí
26-35,Sí
36-50,No
18-25,No
18-25,No
26-35,Sí
26-35,Sí
18-25,Sí
36-50,No
36-50,Sí
26-35,Sí
36-50,No
18-25,No
26-35,No
18-25,No
26-35,Sí
26-35,Sí
26-35,Sí
36-50,Sí
18-25,Sí
18-25,Sí
26-35,Sí
26-35,No
36-50,No
18-25,Sí
36-50,Sí
18-25,Sí
26-35,No
36-50,No
18-25,Sí
18-25,Sí
36-50,Sí
36-50,No
18-25,No
26-35,Sí
36-50,No
26-35,Sí
26-35,Sí
26-35,Sí
